x,mean(x),x-mean(x),(x-mean(x))sq,sum(x-mean(x))sq,sum/n-1,(sum/n-1)sqrt
60,81.8,-21.8,475.24,2629.6,292.1777778,17.09320853
61,81.8,-20.8,432.64,2629.6,292.1777778,17.09320853
65,81.8,-16.8,282.24,2629.6,292.1777778,17.09320853
63,81.8,-18.8,353.44,2629.6,292.1777778,17.09320853
98,81.8,16.2,262.44,2629.6,292.1777778,17.09320853
99,81.8,17.2,295.84,2629.6,292.1777778,17.09320853
95,81.8,13.2,174.24,2629.6,292.1777778,17.09320853
90,81.8,8.2,67.24,2629.6,292.1777778,17.09320853
91,81.8,9.2,84.64,2629.6,292.1777778,17.09320853
96,81.8,14.2,201.64,2629.6,292.1777778,17.09320853
